Title,Model,Code Type,LOC,Errors,UnnecessaryLocalBeforeReturn,NoPackage,UseLocaleWithCaseConversions,LiteralsFirstInComparisons,UnusedPrivateMethod,UnusedLocalVariable,UnusedPrivateField,UncommentedEmptyConstructor,UnusedFormalParameter,EmptyControlStatement,LooseCoupling,UseUtilityClass,UnnecessaryImport,Other Errors
LeetCode-Per-Day-Problem-Solving,https://raw.githubusercontent.com/maihoonprince/LeetCode-Per-Day-Problem-Solving/main/March-30.%20Subarrays%20with%20K%20Different%20Integers.java,java,30,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x3EF8,https://raw.githubusercontent.com/0x3EF8/0x3EF8/main/Active.java,java,27,"{'UnnecessaryImport': 1, 'NoPackage': 1, 'UseUtilityClass': 1}",0,1,0,0,0,0,0,0,0,0,0,1,1,0
curso-java-md-20,https://raw.githubusercontent.com/almsx/curso-java-md-20/main/Arreglos.java,java,20,"{'NoPackage': 1, 'UseUtilityClass': 1}",0,1,0,0,0,0,0,0,0,0,0,1,0,0
OOP-BankAccount,https://raw.githubusercontent.com/deerborg/OOP-BankAccount/master/BankAccount.java,java,16,"{'NoPackage': 1, 'UseUtilityClass': 1, 'UnusedLocalVariable': 1}",0,1,0,0,0,1,0,0,0,0,0,1,0,0
vscript,https://raw.githubusercontent.com/MalikWhitten67/vscript/main/vscript.java,java,916,"{'UnnecessaryImport': 2, 'NoPackage': 1, 'ControlStatementBraces': 18, 'CloseResource': 1, 'PreserveStackTrace': 1, 'UncommentedEmptyMethodBody': 1, 'AbstractClassWithoutAnyMethod': 1, 'LooseCoupling': 21, 'LiteralsFirstInComparisons': 14, 'LocalVariableNamingConventions': 14, 'UnusedLocalVariable': 12, 'FormalParameterNamingConventions': 1, 'MethodNamingConventions': 3, 'EmptyCatchBlock': 3, 'UnusedPrivateMethod': 1, 'UnusedFormalParameter': 2, 'UseCollectionIsEmpty': 5, 'ImplicitSwitchFallThrough': 1, 'EmptyControlStatement': 2, 'CompareObjectsWithEquals': 4, 'UseEqualsToCompareStrings': 4, 'ForLoopCanBeForeach': 2, 'ClassNamingConventions': 1, 'UseUtilityClass': 1}",0,1,0,14,1,12,0,0,2,2,21,1,2,60
